"","subj","variable","median","mean","sd","ci_025","ci_975","state"
"1",1,"S1toS1",0.31495,0.3237896,0.0769659234025371,0.19628,0.4816625,1
"2",1,"S2toS2",0.631,0.6205736,0.0998982085680975,0.426205,0.7659,2
"3",1,"S3toS3",0.73245,0.7297258,0.0710992155569442,0.5824775,0.8499,3
"4",1,"S4toS4",0.4147,0.4246995,0.187108221723115,0.0909,0.77455,4
"5",2,"S1toS1",0.34,0.3658213,0.185648217543253,0.0681,0.753,1
"6",2,"S2toS2",0.3336,0.3487735,0.172504028844887,0.0693,0.6969,2
"7",2,"S3toS3",0.3504,0.3644505,0.152173678499858,0.0851,0.6825625,3
"8",2,"S4toS4",0.9894,0.9882841,0.00535091482640861,0.9754,0.9962,4
"9",3,"S1toS1",0.8942,0.8922405,0.0236703074167448,0.845,0.9319,1
"10",3,"S2toS2",0.5909,0.5800682,0.0937557085282898,0.38077,0.7279,2
"11",3,"S3toS3",0.7943,0.7880885,0.0625033372302225,0.6487375,0.895905,3
"12",3,"S4toS4",0.8755,0.8703826,0.0417672870019529,0.7851,0.9414,4
"13",4,"S1toS1",0.3582,0.3790319,0.177294115005562,0.0758,0.7447,1
"14",4,"S2toS2",0.6969,0.7011425,0.0531213671077222,0.5992475,0.7963,2
"15",4,"S3toS3",0.4242,0.428586,0.0654991482572287,0.3028,0.5641,3
"16",4,"S4toS4",0.7674,0.7684155,0.0429008063903109,0.6833,0.8447,4
"17",5,"S1toS1",0.6582,0.648819,0.0685921135192453,0.5121475,0.7629,1
"18",5,"S2toS2",0.3109,0.3147765,0.097586238433919,0.1083,0.5249875,2
"19",5,"S3toS3",0.5635,0.5530872,0.12365876987714,0.3033,0.7948,3
"20",5,"S4toS4",0.6336,0.6240504,0.071908011806766,0.4662,0.7379,4
"21",6,"S1toS1",0.70695,0.7077468,0.0455567653442233,0.6159375,0.79012,1
"22",6,"S2toS2",0.8174,0.81204,0.0625170080561786,0.6750675,0.9085,2
"23",6,"S3toS3",0.781,0.7743837,0.0653059506591972,0.6398475,0.8896,3
"24",6,"S4toS4",0.582,0.5760458,0.0654555226685099,0.4486775,0.7038,4
"25",7,"S1toS1",0.9306,0.9299262,0.0185280782393437,0.889,0.962,1
"26",7,"S2toS2",0.3007,0.3116761,0.133755780314563,0.0791875,0.6206,2
"27",7,"S3toS3",0.3315,0.3583963,0.155866477522029,0.1274,0.7157,3
"28",7,"S4toS4",0.2742,0.2796492,0.097347415881156,0.0896,0.4569,4
"29",8,"S1toS1",0.2738,0.302354,0.102697439052724,0.130185,0.5139,1
"30",8,"S2toS2",0.863,0.8611498,0.0343828978363317,0.7810475,0.923885,2
"31",8,"S3toS3",0.61725,0.6004902,0.0981635132791166,0.3769125,0.7643,3
"32",8,"S4toS4",0.9565,0.9332308,0.0526277545779023,0.795605,0.9849,4
"33",9,"S1toS1",0.4414,0.447678,0.0687787585932869,0.325875,0.5750525,1
"34",9,"S2toS2",0.5452,0.5455239,0.0653295650594802,0.4114775,0.6688,2
"35",9,"S3toS3",0.6101,0.6130538,0.0677333978089003,0.4847,0.7609,3
"36",9,"S4toS4",0.5492,0.5464081,0.0824393073951607,0.3615,0.7058,4
"37",10,"S1toS1",0.3446,0.3817185,0.194296420725799,0.0747,0.8051975,1
"38",10,"S2toS2",0.8009,0.7944558,0.0457111156334261,0.663,0.8637,2
"39",10,"S3toS3",0.6545,0.6529739,0.049033571764149,0.5543,0.7386925,3
"40",10,"S4toS4",0.6621,0.6579378,0.0549995831375594,0.5393425,0.756,4
"41",11,"S1toS1",0.1843,0.1953324,0.0814684874333916,0.046345,0.3708325,1
"42",11,"S2toS2",0.4939,0.4901372,0.0915588550611032,0.2983,0.6614,2
"43",11,"S3toS3",0.4726,0.4695376,0.094748559122003,0.257265,0.6511,3
"44",11,"S4toS4",0.5334,0.5275824,0.0850218399207139,0.3685975,0.6977,4
"45",12,"S1toS1",0.4081,0.4031253,0.0650598005496294,0.2834775,0.5289,1
"46",12,"S2toS2",0.4092,0.4116343,0.0757913233702131,0.2607,0.5555,2
"47",12,"S3toS3",0.41715,0.4221999,0.0861674250231787,0.2462675,0.604145,3
"48",12,"S4toS4",0.3196,0.3242414,0.0736287619115018,0.1827,0.4721,4
"49",13,"S1toS1",0.61055,0.6097503,0.0741184708938173,0.4235625,0.7597,1
"50",13,"S2toS2",0.33815,0.3488916,0.142499729270909,0.1091,0.6423,2
"51",13,"S3toS3",0.37,0.3657498,0.125434209531853,0.134,0.6087,3
"52",13,"S4toS4",0.7429,0.7285554,0.0727124640847309,0.5665925,0.83716,4
"53",14,"S1toS1",0.384,0.3907967,0.182644962650196,0.10443,0.74471,1
"54",14,"S2toS2",0.7113,0.719136,0.0920546479119995,0.5314375,0.8834,2
"55",14,"S3toS3",0.7679,0.7588621,0.080250975025744,0.5668,0.8707,3
"56",14,"S4toS4",0.9607,0.9605357,0.0117465414802293,0.9342,0.9797325,4
"57",15,"S1toS1",0.6566,0.6565792,0.0438226819673878,0.5659775,0.7382,1
"58",15,"S2toS2",0.5597,0.5577428,0.0587759707950698,0.4357,0.66191,2
"59",15,"S3toS3",0.5739,0.5776727,0.0593289532134134,0.453,0.683,3
"60",15,"S4toS4",0.5434,0.5391265,0.0918357879025911,0.3364,0.7058,4
"61",16,"S1toS1",0.60025,0.5947782,0.0511328666790237,0.477,0.679,1
"62",16,"S2toS2",0.34975,0.3685141,0.130818915068616,0.1691,0.6453025,2
"63",16,"S3toS3",0.4853,0.4760772,0.113712561341159,0.2457,0.68024,3
"64",16,"S4toS4",0.61,0.6034238,0.0778822373616504,0.44838,0.7187,4
"65",17,"S1toS1",0.7373,0.7302777,0.0560391654182213,0.6222,0.8262425,1
"66",17,"S2toS2",0.2445,0.2318655,0.0999410884517019,0.0441,0.4133,2
"67",17,"S3toS3",0.3982,0.3950361,0.158745659755728,0.1012625,0.70974,3
"68",17,"S4toS4",0.459,0.4608958,0.0937661782229527,0.2881,0.6377525,4
"69",18,"S1toS1",0.9833,0.9827454,0.00467516588112294,0.9729,0.9908,1
"70",18,"S2toS2",0.5252,0.5158481,0.127648928963213,0.26089,0.7467625,2
"71",18,"S3toS3",0.3528,0.3667685,0.14374370849356,0.1277775,0.7223,3
"72",18,"S4toS4",0.5872,0.5745475,0.131626470823963,0.2683375,0.7942,4
"73",19,"S1toS1",0.8147,0.8095696,0.0485573600296912,0.7079,0.8902325,1
"74",19,"S2toS2",0.7052,0.7033703,0.0901716060989071,0.5185,0.8716,2
"75",19,"S3toS3",0.5466,0.5397131,0.100883876784078,0.3371,0.733,3
"76",19,"S4toS4",0.9087,0.9062031,0.0335955089053375,0.8293,0.967045,4
"77",20,"S1toS1",0.5899,0.591608,0.0671910453302564,0.4602,0.7127,1
"78",20,"S2toS2",0.5328,0.5315559,0.0698844281545502,0.3849,0.658,2
"79",20,"S3toS3",0.70025,0.6991262,0.0688136482956088,0.5714,0.8186,3
"80",20,"S4toS4",0.7447,0.7409482,0.0561571628886619,0.613185,0.8462,4
