"","model","state","observations","dwell_time","true_average_switches(mean)","MEDHMM_average_switches(mean)","MEDHMM_Proportion_exact_switch_point(mean)","true_average_switches(sd)","MEDHMM_average_switches(sd)","MEDHMM_Proportion_exact_switch_point(sd)","true_average_switches(2.5%)","MEDHMM_average_switches(2.5%)","MEDHMM_Proportion_exact_switch_point(2.5%)","true_average_switches(97.5%)","MEDHMM_average_switches(97.5%)","MEDHMM_Proportion_exact_switch_point(97.5%)"
"st_3_obs_1_dwell_1_medhmm","medhmm","3"," 200","1.44","121.206641","  6.011230","0.0000000"," 3.19275599"," 1.4686679","0.0000000","115.487500","  3.244688","0","127.213437","  8.697188","0.0000000"
"st_3_obs_1_dwell_2_medhmm","medhmm","3"," 200","3.48"," 52.300684"," 39.525000","0.0000000"," 1.68276224"," 1.4776901","0.0000000"," 49.307812"," 36.856563","0"," 55.940000"," 42.319375","0.0000000"
"st_3_obs_1_dwell_3_medhmm","medhmm","3"," 200","19.5","  8.769922","  8.773242","0.5610777"," 0.29910232"," 0.2980445","0.4788369","  8.152188","  8.152188","0","  9.280938","  9.285312","0.9843187"
"st_3_obs_1_dwell_4_medhmm","medhmm","3"," 200","99.5","  1.104626","  1.104528","0.7830430"," 0.10168232"," 0.1022887","0.3953476","  0.889375","  0.889375","0","  1.300000","  1.298125","0.9991892"
"st_3_obs_2_dwell_1_medhmm","medhmm","3"," 500","1.44","304.538281"," 41.346387","0.0000000"," 7.79055599","13.7074218","0.0000000","292.215312"," 15.193750","0","321.365937"," 67.661250","0.0000000"
"st_3_obs_2_dwell_2_medhmm","medhmm","3"," 500","3.48","131.362598"," 99.448242","0.0000000"," 3.90802554"," 4.0545119","0.0000000","124.151875"," 91.903437","0","138.774375","106.234063","0.0000000"
"st_3_obs_2_dwell_3_medhmm","medhmm","3"," 500","19.5"," 22.966016"," 22.962402","0.6394482"," 0.79666649"," 0.7971213","0.4603233"," 21.360938"," 21.360938","0"," 24.640000"," 24.640000","0.9799558"
"st_3_obs_2_dwell_4_medhmm","medhmm","3"," 500","99.5","  3.956836","  3.956641","0.9012670"," 0.18854277"," 0.1883866","0.2634921","  3.608750","  3.608750","0","  4.422812","  4.422812","0.9902228"
"st_3_obs_3_dwell_1_medhmm","medhmm","3","1000","1.44","610.393066"," 73.248633","0.0000000","13.37057987","24.5649068","0.0000000","584.731250"," 29.871875","0","632.525938","115.890000","0.0000000"
"st_3_obs_3_dwell_2_medhmm","medhmm","3","1000","3.48","265.491797","197.127441","0.0000000"," 8.04355583"," 7.2788334","0.0000000","251.860312","184.452187","0","280.805937","210.001563","0.0000000"
"st_3_obs_3_dwell_3_medhmm","medhmm","3","1000","19.5"," 46.745312"," 46.742969","0.5989472"," 1.40080650"," 1.4026232","0.4723889"," 44.223437"," 44.223437","0"," 49.191250"," 49.191250","0.9791131"
"st_3_obs_3_dwell_4_medhmm","medhmm","3","1000","99.5","  8.716895","  8.717090","0.8909080"," 0.28960667"," 0.2896376","0.2745572","  8.160938","  8.160938","0","  9.220625","  9.222812","0.9860320"
"st_4_obs_1_dwell_1_medhmm","medhmm","4"," 200","1.44","120.065527"," 32.116602","0.0000000"," 2.72286304"," 1.8196665","0.0000000","114.970000"," 28.097812","0","126.603437"," 35.560312","0.0000000"
"st_4_obs_1_dwell_2_medhmm","medhmm","4"," 200","3.48"," 51.720312"," 42.108789","0.0000000"," 1.37044611"," 0.9003244","0.0000000"," 49.179063"," 40.302187","0"," 54.566563"," 43.639063","0.0000000"
"st_4_obs_1_dwell_3_medhmm","medhmm","4"," 200","19.5","  8.653906","  8.649609","0.7491462"," 0.26344622"," 0.2638904","0.4172940","  8.024687","  8.014375","0","  9.087500","  9.087500","0.9905315"
"st_4_obs_1_dwell_4_medhmm","medhmm","4"," 200","99.5","  1.188800","  1.191300","0.8038934"," 0.09907363"," 0.1001413","0.3839442","  1.025000","  1.025000","0","  1.398750","  1.398750","1.0000000"
"st_4_obs_2_dwell_1_medhmm","medhmm","4"," 500","1.44","301.494434"," 82.193848","0.0000000"," 7.09700776"," 5.8690498","0.0000000","288.710938"," 72.481562","0","315.370000"," 94.900000","0.0000000"
"st_4_obs_2_dwell_2_medhmm","medhmm","4"," 500","3.48","129.916211","105.920801","0.0000000"," 3.79925700"," 2.9379267","0.0000000","122.809062"," 98.663750","0","136.478437","110.838750","0.0000000"
"st_4_obs_2_dwell_3_medhmm","medhmm","4"," 500","19.5"," 22.645215"," 22.641699","0.6698751"," 0.68128837"," 0.6811496","0.4578933"," 21.475625"," 21.475625","0"," 24.018125"," 24.001250","0.9876874"
"st_4_obs_3_dwell_1_medhmm","medhmm","4","1000","1.44","603.766504","164.023730","0.0000000","13.11421547"," 9.3516762","0.0000000","579.938125","147.087500","0","628.032500","184.228125","0.0000000"
"st_4_obs_3_dwell_3_medhmm","medhmm","4","1000","19.5"," 46.167480"," 46.164941","0.6262268"," 1.34649529"," 1.3438106","0.4716993"," 43.727500"," 43.729687","0"," 48.645000"," 48.645000","0.9860068"
"st_4_obs_3_dwell_4_medhmm","medhmm","4","1000","99.5","  8.578711","  8.579199","0.8759404"," 0.27416372"," 0.2744056","0.3081976","  8.137500","  8.116875","0","  9.157500","  9.157500","0.9908356"
"st_3_obs_2_dwell_5_medhmm","medhmm","3"," 500","mixed"," 11.683496"," 11.356641","0.0000000"," 0.54955676"," 0.5305665","0.0000000"," 10.714688"," 10.305000","0"," 12.663438"," 12.318437","0.0000000"
"st_3_obs_1_dwell_1_mhmm","mhmm","3"," 200","1.4","121.206641","121.165137","0.0016940357"," 3.19275599"," 3.2439001","0.015782439","115.4875000","115.0312500","0","127.213437","127.132812","0.0000000"
"st_3_obs_1_dwell_2_mhmm","mhmm","3"," 200","3.5"," 52.300684"," 52.687305","0.0015269427"," 1.68276224"," 1.7181874","0.012782635"," 49.3078125"," 49.6593750","0"," 55.940000"," 56.157500","0.0000000"
"st_3_obs_1_dwell_3_mhmm","mhmm","3"," 200","19.5","  8.769922","  8.813086","0.0476492750"," 0.29910232"," 0.2974004","0.205194230","  8.1521875","  8.2131250","0","  9.280938","  9.318437","0.9696158"
"st_3_obs_1_dwell_4_mhmm","mhmm","3"," 200","99.5","  1.104102","  1.137500","0.1737306775"," 0.10145484"," 0.1039335","0.369360685","  0.8896875","  0.9396875","0","  1.300000","  1.335312","0.9936638"
"st_3_obs_2_dwell_1_mhmm","mhmm","3"," 500","1.4","304.538281","304.364648","0.0004476754"," 7.79055599"," 7.8639867","0.005064869","292.2153125","291.7800000","0","321.365937","321.170000","0.0000000"
"st_3_obs_2_dwell_2_mhmm","mhmm","3"," 500","3.5","131.362598","132.160742","0.0000000000"," 3.90802554"," 3.9066802","0.000000000","124.1518750","124.9953125","0","138.774375","139.575313","0.0000000"
"st_3_obs_2_dwell_3_mhmm","mhmm","3"," 500","19.5"," 22.966016"," 23.030664","0.0227436814"," 0.79666649"," 0.7959526","0.135610699"," 21.3609375"," 21.4668750","0"," 24.640000"," 24.701875","0.2792378"
"st_3_obs_2_dwell_4_mhmm","mhmm","3"," 500","99.5","  3.956836","  3.964258","0.5236281079"," 0.18854277"," 0.1883396","0.487333171","  3.6087500","  3.6109375","0","  4.422812","  4.433125","0.9897561"
"st_3_obs_3_dwell_1_mhmm","mhmm","3","1000","1.4","610.393066","610.157422","0.0000000000","13.37057987","13.6302077","0.000000000","584.7312500","583.2650000","0","632.525938","633.196563","0.0000000"
"st_3_obs_3_dwell_2_mhmm","mhmm","3","1000","3.5","265.491797","266.991699","0.0000000000"," 8.04355583"," 8.0278510","0.000000000","251.8603125","253.4425000","0","280.805937","282.764375","0.0000000"
"st_3_obs_3_dwell_3_mhmm","mhmm","3","1000","19.5"," 46.745312"," 46.857617","0.0000000000"," 1.40080650"," 1.4048305","0.000000000"," 44.2234375"," 44.3271875","0"," 49.191250"," 49.247812","0.0000000"
"st_3_obs_3_dwell_4_mhmm","mhmm","3","1000","99.5","  8.716895","  8.721289","0.6247439507"," 0.28960667"," 0.2904710","0.469788937","  8.1609375","  8.1609375","0","  9.220625","  9.220625","0.9857792"
"st_4_obs_1_dwell_1_mhmm","mhmm","4"," 200","1.4","120.065527","120.054102","0.0008989422"," 2.72286304"," 2.7506581","0.007661108","114.9700000","115.1050000","0","126.603437","126.347500","0.0000000"
"st_4_obs_1_dwell_2_mhmm","mhmm","4"," 200","3.5"," 51.720312"," 52.181641","0.0000000000"," 1.37044611"," 1.3872388","0.000000000"," 49.1790625"," 49.7093750","0"," 54.566563"," 54.911250","0.0000000"
"st_4_obs_1_dwell_3_mhmm","mhmm","4"," 200","19.5","  8.653906","  8.721973","0.0076272233"," 0.26344622"," 0.2635349","0.086292181","  8.0246875","  8.0975000","0","  9.087500","  9.135312","0.0000000"
"st_4_obs_1_dwell_4_mhmm","mhmm","4"," 200","99.5","  1.189453","  1.265234","0.0308365598"," 0.09810505"," 0.1072075","0.172365821","  1.0250000","  1.0625000","0","  1.397812","  1.472813","0.8107759"
"st_4_obs_2_dwell_1_mhmm","mhmm","4"," 500","1.4","301.494434","301.431934","0.0004074699"," 7.09700776"," 7.0490066","0.004609995","288.7109375","288.3290625","0","315.370000","315.138438","0.0000000"
"st_4_obs_2_dwell_2_mhmm","mhmm","4"," 500","3.5","129.916211","130.771680","0.0000000000"," 3.79925700"," 3.8019423","0.000000000","122.8090625","123.9662500","0","136.478437","137.082500","0.0000000"
"st_4_obs_2_dwell_3_mhmm","mhmm","4"," 500","19.5"," 22.645215"," 22.717285","0.0061098129"," 0.68128837"," 0.6854526","0.049144992"," 21.4756250"," 21.5418750","0"," 24.018125"," 24.068125","0.0000000"
"st_4_obs_2_dwell_4_mhmm","mhmm","4"," 500","99.5","  3.980566","  4.013574","0.1004661660"," 0.17601511"," 0.1732692","0.295241933","  3.5837500","  3.6396875","0","  4.318437","  4.333125","0.9858255"
"st_4_obs_3_dwell_1_mhmm","mhmm","4","1000","1.4","603.766504","603.458496","0.0007119215","13.11421547","13.2433826","0.005713452","579.9381250","579.0678125","0","628.032500","628.491875","0.0000000"
"st_4_obs_3_dwell_2_mhmm","mhmm","4","1000","3.5","261.166309","262.762598","0.0000000000"," 6.77068800"," 6.7863938","0.000000000","245.8484375","247.5303125","0","273.510625","274.916250","0.0000000"
"st_4_obs_3_dwell_3_mhmm","mhmm","4","1000","19.5"," 46.167480"," 46.283301","0.0000000000"," 1.34649529"," 1.3503857","0.000000000"," 43.7275000"," 43.9159375","0"," 48.645000"," 48.705937","0.0000000"
"st_4_obs_3_dwell_4_mhmm","mhmm","4","1000","99.5","  8.578711","  8.589160","0.4459172068"," 0.27416372"," 0.2752610","0.491811338","  8.1375000","  8.1271875","0","  9.157500","  9.159688","0.9902023"
"st_3_obs_2_dwell_5_mhmm","mhmm","3"," 500","mix"," 11.683496"," 11.725000","0.0205155757"," 0.54955676"," 0.5478371","0.091624631"," 10.7146875"," 10.6925000","0"," 12.663438"," 12.674375","0.3066393"
